c_id,sentiment,tweet1,tweet2,org,loc,per,oth,negative,positive
1287.0,Positive,"1-1 Northern Ireland vs Portugal. Northern Ireland are 113th in the world, Portugal in the top 10. Canada 61th. Honduras 66th. Yep",Portugal vs Northern Ireland online free 16.10.2012: Watch Portugal vs Northern Ireland… ,"NORTHERN IRELAND,PORTUGAL,REPUBLIC OF IRELAND","CANADA,GERMANY,HONDURAS,PORTUGAL",,,99,10
1289.0,Positive,Africa leader prize to be awarded: The world's most valuable individual prize - the Mo Ibrahim prize for good go... ,Today at 17/1800gmt - we're talking about the Mo Ibrahim prize for African leadership which was not awarded this year.,,AFRICA,MO IBRAHIM,"WORLD'S,MO IBRAHIM PRIZE,AFRICAN",0,9
1290.0,Positive,No winner for the Mo Ibrahim Leadership Prize: LONDON (AFP) – The Ibrahim Prize for… ,There is no winner for the Mo Ibrahim leadership prize this year - i.e no African leader worthy... Is he right? ,"BBC NEWS,AFP",LONDON,MO IBRAHIM,"AFRICAN,MO IBRAHIM LEADERSHIP PRIZE,IBRAHIM PRIZE",6,24
1299.0,Negative,BBC England - College bus carrying 56 crashes: A school bus carrying 56 students crashes and rolls into a field ... ,College bus carrying 56 crashes: A college bus with more than 50 students on board crashes and rolls into a field in Dorset.,BBC ENGLAND,DORSET,,,10,0
1306.0,Negative,"Portuguese PM defiant ahead of budget, protests: LISBON, Oct 15 — Bracing for street protests around the Lisbon ... ","Portuguese PM defiant ahead of budget, protests: LISBON (Reuters) - Bracing for street protests around the Lisbo... ",REUTERS,LISBON,,PORTUGUESE,8,0
1311.0,Positive,Aid workers 'kidnapped in Niger': At least four aid workers are kidnapped in south-central Niger by unknown gunm... ,"Aid workers 'kidnapped in Niger': At least four aid workers are kidnapped in southern Niger by unknown gunmen, t... ",,NIGER,,,0,6
1320.0,Positive,Alvin Roth and Lloyd Shapley Win Nobel in Economic Science: Alvin Roth and Lloyd Shapley were given the award fo... ,Roth and Shapley win Nobel prize for economics: STOCKHOLM (Reuters) - U.S. economists Alvin Roth and Lloyd Shapley won the 2012 econo...,,"STOCKHOLM,U.S.","ALVIN ROTH,SHAPLEY,LLOYD SHAPL,LLOYD SHAPLEY,ROTH",NOBEL PRIZE,4,16
1321.0,Positive,Nobel Prize in economics awarded: US academics Alvin Roth and Lloyd Shapley win the 2012 Nobel Prize in economics. ,2 Americans win Nobel economics prize: Americans Alvin Roth and Lloyd Shapley were awarded the Nobel economics p... ,,US,"ALVIN ROTH,LLOYD SHAPLEY","NOBEL ECONOMICS PRIZE,NOBEL,AMERICANS,NOBEL PRIZE,NOBEL ECONO",9,17
1267.0,Positive,Nigeria's Most Sadistic Killers: Why Is Boko Haram Not Designated a Terrorist ... - Osun Defender #BokoHaram,#Nigeria’s Most Sadistic Killers: Why Is Boko Haram Not Designated a Terrorist Group? @stevekuriigamba,"STEVEKURIIGAMBA,BOKO HARAM",NIGERIA,BOKOHARAM,"NIGERIA'S,NIGERIA’S",1,4
1319.0,Positive,BBC News - Home: Burma bars Islamic office opening: BBC News - Home T... ,Burma bars Islamic office opening ,BBC NEWS,BURMA,,ISLAMIC,0,6
1364.0,Negative,"ray lewis is out for season with torn tricep, hopefully this isn't the end of the ray lewis era",Dang Ray Lewis out for the season. I hope he has one more year left in him after this. Every football fan respects Ray Lewis.,,,"DANG RAY LEWIS,RAY LEWIS",,457,48
1372.0,Positive,"Portugal announces tough budget: The Portuguese government reveals details of its draft budget for 2013, one of ... ","Portugal announces tough budget: The Portuguese government reveals details of its draft budget for 2013, one of the... ",,PORTUGAL,,PORTUGUESE,5,9
1389.0,Negative,Ontario Premier Dalton McGuinty resigns: Ontario Premier Dalton McGuinty is resigning as Ontario premier and as ... ,Ontario Premier Dalton McGuinty Resigns Ontario Premier Dalton McGuinty has announced a surpri ,,ONTARIO,DALTON MCGUINTY,,63,30
1395.0,Negative,Watching here comes honey boo boo with mom &gt;&gt;&gt; #FuckYeah,Watching Honey Boo Boo makes me feel intelligent #lovethisshow #honeybooboo #teacuppig 🐷💖,,,,,21,0
1397.0,Positive,Nigeria city 'shaken by blasts': Loud explosions and gunfire rock the northern Nigerian city of Maiduguri which has seen growing viol...,'Militant blasts' in Nigeria city: Loud explosions and gunfire rock the northern Nigerian city of Maiduguri - th... ,,"NIGERIA,MAIDUGURI",,NIGERIAN,10,11
1388.0,Negative,Budget block forces early Israel election: Israel's parliament has voted to dissolve itself and schedule an elec... ,CNN: Budget block forces early Israel election: Israel's parliament has voted to dissolve itself and schedule an... ,ELEC,ISRAEL,,ISRAEL'S,17,6
1402.0,Negative,Tina Fey and Amy Poehler to Host 2013 Golden Globes!: NBC stars Tina Fey and Amy Poehler have been tagged as co-... ,Tina Fey and Amy Poehler Hosting 2013 Golden Globes: Someone was listening to the post-Emmys buzz. Tina Fey and... ,NBC,,"GOD,AMY POEHLER,TINA FEY",GOLDEN GLOBES,58,39
1405.0,Positive,Philip Rivers doing his best Philip Rivers impersonation.,Philip Culpepper? RT @MyPotnaB: Philip Favre RT @Trap_Jesus: PHILIP DETMER,,"DENVER,FORREAL RIVERS","PHILIP DETMER,PHILIP FAVRE,JESUS,PHILIP CULPEPPER,PHILIP RIVERS",,121,132
1412.0,Negative,Chargers Lead Broncos 24-14 After 3 Quarters: Chargers lead Broncos 24-14 after 3 quarters,The chargers won this game for the broncos the broncos didn't win it for themselves,"BRONCOS,THE CHARGERS,CHARGERS",,,,143,60
1414.0,Positive,That's a #fumble boys and girls... #Chargers better keep it on em or Peyton and the #Broncos will come back!,chargers are stickin it to ole peyton and the broncos,"BRONCOS,OLE PEYTON,THE BRONCOS,CHARGERS",,PEYTON,,2,4
1264.0,Positive,"Broncos vs. Chargers game recap: Denver completes historic comeback, beats San Diego, 35-24: Peyton Manning and ... ","#IDP Denver Broncos vs. San Diego Chargers: Live Score, Highlights and Analysis: Peyton Manning... #FantasyFootball","BRONCOS,SAN DIEGO,DENVER,IDP DENVER BRONCOS",SAN DIEGO,PEYTON MANNING,,4,4
1418.0,Negative,I told yall niggas when Denver was down 24-0 that they would still win this game though,“@PistolPay: Denver will win this game by 4 points” fuck no,"DENVER,YALL NIGGAS",,I'M,,7,0
1429.0,Positive,Well charger fans as a Bills fan I know where you are at ! # nowreadytotakeit #wehaveafreshstart #1intheafceast,Sad Night For Yawl Charger Fans!! 😂,CHARGER,,,,3,2
1438.0,Negative,"UK blocks McKinnon extradition: British computer hacker Gary McKinnon will not be extradited to the US, Home Secretary Theresa May an...","No extradition for McKinnon - May: British computer hacker Gary McKinnon will not be extradited to the US, Home Secretary Theresa May...",,"UK,US","THERESA,GARY MCKINNON,MCKINNON",BRITISH,36,61
1326.0,Negative,you know obama n mitt are shaking hands saying I'm about murder this shit,I wonder what the pres and Romney say to each other when they shake hands.,,,"MITT,ROMNEY,MARIAHHPAULO,OBAMA",PRES,7,1
1453.0,Positive,Britain to close Basra consulate: Britain is preparing to announce the closure of its full consulate in Iraq's s... ,Slik News: Britain to close Basra consulate - Britain is preparing to announce the closure of its full consulate in ... ,,"BASRA,BRITAIN",,IRAQ'S,10,15
1454.0,Positive,Chinese warships cross waters near Japan island: Japanese aircraft have spotted seven Chinese warships in waters... ,"Chinese Warships Cross Waters Near Japan Island: As territorial dispute rages, Japan monitors Chinese warships c... ",,"JAPAN ISLAND,JAPAN",,"CHINESE,JAPANESE",5,2
1461.0,Negative,EU car sales 'in year-long drop': New car sales in European Union fell for the 12th month in a row in September ... ,EU car sales 'in year-long drop' - New car sales in European Union fell for the 12th month in a row in September but... ,EU,,,EUROPEAN,14,0
1477.0,Negative,Apple manufacturer Foxconn says underage workers used in China: FOXCONN-TEENAGERS-CHINA-APPLE:Apple manufacturer Foxconn says undera...,"Apple manufacturer Foxconn says underage workers used in China: TAIPEI (Reuters) - Apple Inc's largest contract manufacturer, Foxconn...","REUTERS,APPLE,FOXCONN","TAIPEI,CHINA",,,19,4
1480.0,Positive,"Hilary Mantel wins 2012 Man Booker Prize, her second: Hilary Mantel won the 2012 Man Booker Prize for the novel ... ",Hilary Mantel wins 2nd Booker Prize for Tudor saga: Novelist Hilary Mantel wins second Booker Prize for Tudor saga 'Bring Up the Bodies',,,HILARY MANTEL,"2012 MAN BOOKER PRIZE,MAN BOOKER PRIZE",8,50
1482.0,Positive,#Technology Foxconn admits it hired underage interns – SlashGear: SlashGear Foxconn admits it hired underage... ,Foxconn admits child labor laws breached by use of underage interns Foxconn has admitted that it employed underage...,"MASHABLE NEWS FOXCONN,SLASHGEAR FOXCONN,FOXCONN,CHINA'S FOXCONN,TECHNOLOGY FOXCONN",,,,40,46
1484.0,Positive,"Jub Jub, co accused guilty of murder: via @News24",Jub jub n themba tshabalala found guilty by da court!!,"DA COURT,NEWS24",,THEMBA TSHABALALA,,9,4
1485.0,Positive,Jub Jub found guilty of murder and attempted murder,Jub Jub found guilty of murder... Justice has been served!,,,,,3,2
1503.0,Negative,Vikram Pandit Out as CEO of Citigroup: Citigroup CEO Vikram Pandit is out as CEO of the nation's fifth large mor... ,Citigroup CEO Vikram Pandit resigns – Reuters: New York Times Citigroup CEO Vikram Pandit resignsReuters(Reuters... ,"REUTERS,NEW YORK TIMES CITIGROUP,CITIGROUP",,VIKRAM PANDIT,,110,98
1504.0,Positive,"Ford recalls Fiesta subcompact for air bag problem: Detroit &amp;mdash; Ford is recalling more than 154,000 Fiesta s... ","Ford recalls Fiesta subcompact for air bag problem: Ford is recalling more than 154,000 Fiesta subcompacts to fi... ",FORD,"DETROIT,LOUISVILLE",,,12,8
1509.0,Positive,DTN Japan: Two US sailors arrested over Okinawa rape: Two US servicemen were arrested Tuesday on suspicion of ra... ,DTN Asia: Two US sailors arrested over Okinawa rape: Two US servicemen were arrested Tuesday on suspicion of rap... ,DTN JAPAN,"OKINAWA,US,U.S.",,JAPANESE,7,8
1518.0,Positive,Eagles fire embattled D-coordinator Castillo: The Philadelphia Eagles have fired defensive coordinator Juan Cast... ,Eagles fire embattled D-coordinator Castillo - The Philadelphia Eagles have fired defensive coordinator Juan Castill... ,"THE EAGLES,PHILADELPHIA EAGLES,EAGLES",,"JUAN,JUAN CASTILL,CASTILLO",,1,9
1519.0,Negative,Philadelphia Eagles Fire Defensive Coordinator Juan Castillo: Ed Werder talks about the Eagles firing defensive ... ,"Eagles dismiss defensive coordinator Juan Castillo, that can only be a good thing #Eagles","EAGLES,PHILADELPHIA EAGLES",,"JUAN CASTILLO,REID,ED WERDER",,8,25
1534.0,Positive,"Top EU health official resigns: The EU commissioner for health, John Dalli, resigns after an anti-fraud ... #Health","Top EU health official resigns: The EU commissioner for health, John Dalli, resigns after an anti-fraud inquiry links him to an attem...",EU,,JOHN DALLI,,10,8
1541.0,Negative,Beyonce to perform at Super Bowl 2013 : There are rumors that Beyonce is tapped to perform at the Super Bowl 201... ,Finally a reason to watch the halftime show! RT @GossipCop: Beyonce CONFIRMS Super Bowl XLVII Halftime Show (PHOTO) ➙ ,WSJ,,BEYONCE,"SUPER BOWL XLVII,SUPER BOWL",57,21
1553.0,Negative,BBC appoints Savile inquiry heads The BBC appoints former High Court judge Dame Janet Smith and former Head of Sky Ne ,BBC appoints Savile inquiry heads: The BBC appoints former High Court judge Dame Janet Smith and former Head of ... ,"THE BBC,SKY NEWS,SKY NE,BBC",,"JANET SMITH,NICK POLLA",,20,0
1554.0,Negative,BBC News - Home: BBC appoints Savile inquiry heads: BBC News - Home T... ,BBC appoints Savile inquiry heads #news #bbc,"BBC NEWS,ADITYARAMADANA BBC,BBC",,,SAVILE,8,3
1559.0,Negative,Four killed in Al Qaeda attack in southern Yemen: ADEN (Reuters) - Two al Qaeda militants and two tribesmen alli... ,Four killed in al Qaeda attack in southern Yemen: ADEN (Reuters) - One al Qaeda militant and three tribesmen all... ,"REUTERS,AL QAEDA","YEMEN,ADEN",,,13,0
1571.0,Negative,Danny rose n England under 21 players racially abused n attacked by serbian players!! UEFA must ban serbia from holding any inter match !!,U see the fuckery the England u21s had to deal with in Serbia. It looked like Danny Rose got sent off for being racially abused wtf,UEFA,"SERBIA,ENGLAND",DANNY ROSE,SERBIAN,11,5
1573.0,Negative,Disgusting watching the end of the England u21 game v Serbia fans and players racially abusing and fighting the England players and coaches,Them Serbian u21 players and fans are disgusting racially abusing black England u21 players and coaches!,"ENGLAND,SERBIA,U21,NICE,BLACK ENGLAND,FIFA","SERBIA,ENGLAND","DANNY ROSE,ROSE",SERBIAN,8,0
1575.0,Positive,"Well, it's Serbia. ""@BBCWorld FA reports some racist incidents to UEFA after England U-21 #Euro2013 qualifying match in Serbia""",Time for uefa to sort out racist football abuse every time we play serbia #England,"BBCWORLD FA,FA,UEFA,ENGLAND","SERBIA,IT'S SERBIA,ENGLAND",,,4,2
1580.0,Positive,So the heating will come on and dry the pitch when you close the roof. But you can't close the fucking roof.,"Stupid Polish officials for not closing the roof at the ground, you know its going to rain but you don't close the roof. Fucking dopey cunts",,,,POLISH,91,7
1590.0,Negative,"10 Apple To Announce iPad Mini On October 23rd, Probably: iPad Mini Invite Apple Apple just sent out invites ... 10","#Featured #Apple #MobilePhonesTablets iPad Mini launch event scheduled for October 23, Apple sends out... #BeCreative",,,,IPAD,8,4
1591.0,Positive,Apple invite hints at iPad mini: Apple send out invites for a media event with a caption that hints at the launc... ,Geek Stuff Apple invite hints at iPad mini: Apple send out invites for a media event with a caption that hints a... ,APPLE,,,LAUNC,2,7
1592.0,Positive,Pregame Spain vs France game to get the juices flowing,This Spain vs France game is too Fucking good,"FRANCE,SPAIN","FRANCE,GERMANY",,,3,8
1593.0,Positive,"Exclusive: Rwanda, Uganda arming Congo rebels, providing troops - U.N. panel: UNITED NATIONS (Reuters) - Rwanda'... ","Exclusive: Rwanda, Uganda aid Congo rebels with arms, troops - U.N. panel: UNITED NATIONS (Reuters) - Despite th... ","U.N,REUTERS,DRC,UN,UNITED NATIONS","RWANDA,UGANDA,CONGO",,RWANDA'S,14,8
1623.0,Positive,Earth sized ExoPlanet Found in Nearest Star System to Earth - Alpha Centauri B ,Space News: Alpha Centauri: Nearest Star System to the Sun - Three stars in this system are the sun's nearest stella... ,ALPHA CENTAURI,,,SUN'S,9,10
1627.0,Positive,"""Governor, you’re the last person that’s going to get tough on China” Touchdown, Obama! #Debate #Obama #China","Governor, you're the last person to get tough on China. President Obama using the Bush question to bang on Romney's China issues",,CHINA,"YOU'RE,ROMNEY,YOU’RE,OBAMA",,239,330
1630.0,Positive,"Obama and Romney should drop the mics, roll up their sleeves and brawl this out #debate #Obama #Romney #dingdingding",Obama is looking at Romney while Romney talks... #debate #lessonslearned,,,"ROMNEY,OBAMA",,128,162
1635.0,Negative,They got a an obese moderator from CNN. I declare Romney the winner. Candy Crowley clearly has eaten too much candy. #debates,The moderator's name is Candy Crowley? The bitch looks like she's had too MUCH candy....,,,"MITT ROMNEY,ROMNEY,SHE'S,CANDY CROWLEY",,291,127
1339.0,Negative,Romney all off topic. He got crazy ADD,I wish Obama and Romney just fought right now #ThatWouldBeEpic,,,"ROMNEY,OBAMA",,8,17
1638.0,Positive,PRESIDENTIAL DEBATE: ROUND 2 9PM!!!: Tonight will be Round 2 of the Presidential Debates ... #RETWEET #GETN2IT,Let's watch a little of this dog and pony show #PresidentialDebate,,,"MITT,LET'S",,4,4
1651.0,Negative,“@LauraLockl3: Four for you Mitt Romney! You go Mitt Romney! And none for Barrack Obama. Bye. 🇺🇸🇺🇸🇺🇸🇺🇸” yes,"Lmao. RT @ItsReginaG: FOUR FOR YOU OBAMA, YOU GO OBAMA. And none for Mitt Romney, Bye.",,,"BARRACK OBAMA,MITT ROMNEY,REGINA GEORGE,OBAMA",,168,149
1653.0,Negative,“@Cori_Ponce: GO GO ROMNEY!” I really wanna throw a baby at you every time you tweet about Romney.. #TEAMOBAMA,"Boom!!!! ""Romney you are the last person to get tough on China"". Interrupt on that Romeny.",TEAMOBAMA,CHINA,"YOU'RE,PONCE,ROMNEY",,18,11
1654.0,Negative,"Moderate earthquake strikes Maine, felt in Boston: QUAKE-USA-MAINE-BOSTON:Moderate earthquake strikes Maine, felt in Boston",USGS: Magnitude 4.5 earthquake hits Southern Maine. Earthquake felt in Boston. // My first earthquake!,,"MAINE,PORTLAND,NEW ENGLAND,BOSTON",,,226,65
1655.0,Negative,WHEN THERES AN EARTHQUAKE. Uhm did anyone else feel that. My whole house shook.,East Coast earthquake @ 7:14 pm here outside of Boston. Anyone else feel the shaking?,,BOSTON,UHM,,12,9
1656.0,Negative,"Felt it in Manchester too! “@cvo: Felt like a decent earthquake in Concord, NH. Anyone else?”",Definitely just felt a mini #earthquake in the Boston area. Anyone else?,,"CONCORD,MANCHESTER,BOSTON,NH",,,14,3
1659.0,Negative,Another big earthquake this week I was lucky enough not to feel. What's going on welly,“@Tha_ReaLB: I swear I felt that earthquake! #RNS WTF !” I thought i was goin crazy my bed was shaking lmaoo,LMAOO,,"REALB,I'VE",,8,0
1667.0,Positive,Obama: We haven't heard from the governor any specifics beyond Big Bird and getting rid of funding for Planned Parenthood #HofstraDebate,"""We haven't heard from the Governor any specifics beyond Big Bird and eliminating funding for Planned Parenthood."" #debate",,,"HAVEN'T,OBAMA",,11,28
1668.0,Positive,The previous president was NOT an oilman. The previous president was a RETARD! #debate2012,Quit interrupting the president Governor Romney. #rude,GOVERNOR'S ASS,,ROMNEY,OILMAN,3,7
1678.0,Positive,"The President said Big Bird! If you're playing the drinking game, I believe that's ""drink until you forget anyone ever mentioned Big Bird""",I would rather see the fist fight than talk talk talk. I'm an action girl. #debate2012,,,"YOU'RE,TEAMOBAMA",,8,9
1680.0,Positive,"""Governor, you're the last person whos gonna get tough on China"" So we should stop trading with China? #debate #debate2012","""governer you're the last person who is going to get tough on China"".....GET EMMM!",,CHINA,"YOU'RE,ROMNEY",,19,75
1691.0,Negative,My TimeLine lookin like Obama Obama Obama Fuck Romney Obama Obama And some hoe talkin bout she lonely Obama Some Hoe got exposed Fuck Romney,"""@DJTUNE_: My timeline looking like Obama Obama Obama fuck Romney Obama Obama Obama and some hoe talkin bout she lonley""",,,"OBAMA OBAMA,ROMNEY,OBAMA",,587,257
1682.0,Positive,"Ezra Klein is bringing it re: Romney's jobs ""plan"" #bollocks #factchecking #presidentialdebate #msnbc",Oh that was a plan Romney ? I thought it was juxx bullshit. #Debate2012,MSNBC,,"ROMNEY'S,ROMNEY,EZRA KLEIN",,2,3
1733.0,Positive,Obama told romney that romney is da last person that would get tough on China lol,"Lmaoo Obama just told Romney ""your the last one to get tough with China"". We all know Romney not bout that life",,CHINA,"LMAOO OBAMA,ROMNEY,LOL,OBAMA",,30,55
1631.0,Positive,If Obama is talking up Bush over Romney then you know Romney ain't sh!t 😬😂,1. Fuck this debate. 2. Romney totally pissed of Obama 3. Fuck Romney's counting shit #ThatsHowIFeel,,,"FUCK,ROMNEY,BUSH,OBAMA",,235,131
1764.0,Negative,"Mitt..answer the woman's question! For crying out loud man, answer a question! Stop flaunting the rules and acting like an arrogant ass.",Mitt Romney didn't even answer the question. He danced around the question as usual,,,"MITT,MITT ROMNEY",,57,71
1774.0,Negative,Im Finna Get Off Bra Ppl Keep Talking Shit Ion Give A Fuck What Chu Gotta Say Im For ROMNEY..&lt;3,"Lol Romney talking in circles like he on dat shit, boy trippin",,,"IM FINNA,MITT ROMNEY,LOL ROMNEY",,6,4
1798.0,Positive,"Romney ""Obama has not been Mr Oil, Mr Coal, Mr Gas"" #debate #tcot #fw","Right, #Obama is NOT Mr Oil, Mr Coal, Mr Gas. Energy indendence requires real change.",,,"ROMNEY,OBAMA",,5,78
1811.0,Negative,Mary...the bangs Mary the bangs...#debate2012,Investing in Wind has cost us billions of dollars. Not worth the money. #debate #debate2012,,,MARY,,3,2
1734.0,Positive,If Romney doesn't bring up Solyndra and all bankrupt energy companies! Screw Crowley! Let Romney speak! #debate,"Mitt Romney ""Coal Kills, unless I want the vote of Big Coal and then I love coal!"" #Debate #p2 #p3",SOLYNDRA,,"MITT ROMNEY,CROWLEY,ROMNEY",,6,3
2011.0,Negative,"Romney quickly googles ""what is a women?"" before answering the equal pay for women question",#nbcpolitics equal pay for women. $60 B to student and no discrimination. Romney stats in MA gov. Where is the answer to pay?,,,"MITT ROMNEY,ROMNEY",,39,23
2012.0,Negative,"Alpha Centauri Bb, an exoplanet, is discovered orbiting around Alpha Centauri, the nearest star system to our... ",Planet found in nearest star system to Earth: HARPS instrument finds Earth-mass exoplanet orbiting Alpha Centauri B ,"ALPHA CENTAURI BB,ALPHA CENTAURI",,,,31,58
2039.0,Negative,"""Whole Binders Full of Women"" sounds like an album title","X___X RT @billmaher: Wow, Mitt had whole binders full of woman. Just like a Morman. #debate2012 #debate",,,MITT,,54,10
2040.0,Positive,'Binders full of women! I was amazed! LOOK AT ALL THESE WOMEN. WOMEN WOMEN WOMEN' - Mitt Romney #debate,"Mitt has ""Binders full of women"" You know who else had binders full of women? Buffalo Bill. Just saying #debates",BUFFALO,,"MITT,MITT ROMNEY",WOMEN'S,295,69
2085.0,Negative,"Governor, you're the last person to get tough on China... #HOP we still owe China money... Be easy LOL","""governor you're the last person who's gonna get get tough on china"" LMAO I love it",,CHINA,"YOU'RE,LMFAO OBAMA",,6,33
2122.0,Positive,Thank you... illegal guns are illegal not automatic guns RT @Belle1O1: Automatic guns aren't illegal,#ROMNEY: I'm not in favor of new legislation on guns or making certain guns illegal. Don't want automatic weapons; already illegal.,,,"I'M,ROMNEY",,52,47
2174.0,Negative,China's Foxconn Weeds Out Underage Interns: Foxconn Technology catches itself with underaged workers in China.,"Foxconn says underage workers used in China plant: Foxconn Technology Group, the world's largest contract electr... ","CHINA'S FOXCONN,FOXCONN TECHNOLOGY,FOXCONN",CHINA,,WORLD'S,45,32
2178.0,Negative,"He called it an act of terror, and that is not a terrorist attack The killing in the movie theater was an act of terror",BOOM Romney. Call him OUT. 14 days before Obama called it an act of terror.,,,"ROMNEY,OBAMA",,8,7
2181.0,Negative,"Obama (and Candy) lied, our ambassador died: No, Obama Didn’t Call Benghazi “Act of Terror” in Speech - #debates","So he lied again? RT @AlexaShrugged: No, Obama Didn’t Call Benghazi “Act of Terror” in Speech (cont) ",,BENGHAZI,OBAMA,,15,20
2189.0,Negative,Indians React to Vikram Pandit’s Citigroup Exit: News of Vikram Pandit’s resignation as chief executive officer ... ,Citigroup CEO Vikram Pandit quits: Citigroup shocked Wall Street Tuesday with news of the immediate resignation ... ,"INDIANS,CITIGROUP",WALL STREET,"CORBAT,VIKRAM PANDIT’S,VIKRAM PANDIT,MICHAEL CORBAT,VIKRAM PANDIT'S",,13,10
2192.0,Negative,"“@AriFleischer: The transcript shows O never specifically called Benghazi a terrorist attack. He talked broadly about ""acts of terror"".” Lie","FACT: @AriFleischer The transcript shows O never specifically called Benghazi a terrorist attack. He talked broadly about ""acts of terror"".",,BENGHAZI,ARIFLEISCHER,,6,0
2194.0,Positive,How can we stop gun violence? Tell people to get married before having kids. Romney's got all the answers.,According to Romney it's the 1950's and you need to get married before you have kids...because that will stop gun violence with AK-47's?,,,"ROMNEY'S,ROMNEY",,14,26
2195.0,Negative,How did guns and violence topic turn to a discussion on two vs. single parent households? #Debates2012,"Thank you! RT @thejenlevin: Seriously, don't blame guns on single parent families. That's just low. #debate",,,,,11,11
2154.0,Positive,Mitt's blaming gun violence on single parent households!!!! #debates,Smh RT @AubreyODay: so the answer to gun violence is no single moms? Thanks Romney. #debate,SMH,,"ROMNEY,MITT'S",,26,23
2196.0,Positive,Mantel wins her second Booker Prize: British author Hilary Mantel has become the first woman to win the Man Book... ,ArtsBeat: Hilary Mantel Wins a Second Booker Prize: Ms. Mantel won the 2012 Man Booker Prize for “Bring Up the B... ,,,"HILARY MANTEL,MANTEL",BRITISH,13,40
2217.0,Negative,"US troops held over Okinawa rape: Two US troops are arrested over the alleged rape of a Japanese woman in Okinawa, amid ongoing oppos...","US troops held over Okinawa rape - Two US troops are arrested over the alleged rape of a Japanese woman in Okinawa, ... ",,"OKINAWA,US",,JAPANESE,35,55
2218.0,Positive,""" I want high wage high skill jobs like manufacturing"" manufacturing jobs are in no way high skill. It's factory work. Come on now",ALL JOBS cannot be high skill high wage jobs! We need to have jobs of all skill levels to make economy run well. #debate2012,,,,AMERICANS,17,91
2220.0,Positive,government does not create jobs government does not create jobs government does not create jobs government does not create jobs #romneycares,Romney teaches: Government does NOT create jobs! Government does NOT create jobs! Government does NOT create jobs!,,,ROMNEY,,10,119
2223.0,Negative,You don't care about 100% of the people you fucking said that you didn't give a damn about 47% of them. #fuckyou,"Rommey corrects misconception: ""I care about 100 percent of the American people.""",,,ROMMEY,AMERICAN,11,0
2228.0,Negative,Saying you care about 100% of the American people NOW has no footing when you've already openly disregarded 47%,"I care about 100% of the American people, even that 47% I hate, because I need their vote. #debate",,,YOU'VE,AMERICAN,10,12
2252.0,Positive,Ford Recalls Fiesta Subcompact for Air Bag Problem ,"Ford recalls 262,000 Fiestas to reprogram air bags ",FORD,,,,5,3
2253.0,Negative,UN to sanction Congo's M23 rebels: The UN Security Council says it intends to impose sanctions agains... bbc Update,UN to sanction Congo's M23 rebels: The UN Security Council says it intends to impose sanctions against leaders o... ,"UN COUNCIL,UN SECURITY COUNCIL,U.N. SECURITY COUNCIL",,,CONGO'S,47,20
2260.0,Negative,"The detroit tigers are 1 win away from the world series, 1 win!! yankees need to wake up before they are swept #ComeOn #ALCS",#TIGERS WIN GAME 3 2-1 OVER THE #YANKEES UP 3-0 IN THE #ALCS JUST 1 WIN AWAY FROM THE WORLD SERIES.,"DETROIT TIGERS,TIGERS,YANKEES,NY YANKEES",,,WORLD SERIES,23,12
2258.0,Positive,Gary McKinnon feels ‘set free’ after US extradition decision ,Gary McKinnon feels 'set free' after US extradition decision ,,US,GARY MCKINNON,,1,5
2263.0,Negative,Yankees suck you let the tigers go 3-0 series how the tigers aren't that good and tomorrow you need to do something because you are playing,"""@freepsports: Tigers lead Yankees, 2-0. To the 9th."" #Tigers","YANKEES,TIGERS",,,,7,3
2270.0,Positive,Divided Syrian rebels agree on joint leadership , Divided Syrian rebels agree on joint leadership,,,,SYRIAN,0,5
2262.0,Negative,Cambodians line streets to see body of late King Norodom Sihanouk: The body of Cambodia's late King Norodom Sihanouk returned to his ...,Plane brings former Cambodia king's body home: The body of Cambodia's revered former King Norodom Sihanouk has b... ,,CAMBODIA,NORODOM SIHANOUK,"CAMBODIANS,CAMBODIA'S",38,59
2275.0,Negative,Abused Rose wants Serbia ban: Danny Rose has called on UEFA to ban Serbia after claiming racist abuse affected h... ,Abused Rose wants Serbia ban: England U21 international Danny Rose has called on UEFA to ban Serbia after claimi... ,UEFA,"SERBIA,ENGLAND","DANNY ROSE,ROSE,ADMITTI",RACIST,28,9
2283.0,Positive,I checked in at 24 Hour Fitness on #Yelp ,Rumor has it!! (@ 24 Hour Fitness w/ 4 others) ,,,,,4,7
2285.0,Negative,Jimmy savile is our mascot Jimmy savile is a blue Jimmy savile drives a camper van An he's gonna fingerblast you....... #campercruising,#BBC sex scandal: BBC's Jimmy #Savile probe to be led by Harold Shipman inquiry judge #paedophile,BBC PROBE,,"HAROLD SHIPMAN,JIMMY SAVILE",,17,3
2298.0,Positive,"UEFA opening disciplinary proceedings against Serbia for racially abusing our players... and against us for being racially abused, obviously",UEFA will be sighing a huge sigh of relief Serbia only racially abused England players and never wore sponsored undies #farcicalUEFA,"UEFA,SERBIA,FARCICALUEFA,SERBIA FA","SERBIA,US,ENGLAND",,,8,3
2311.0,Negative,Sword hunt police stun blind man: Lancashire Police apologise after an officer uses a Taser on a blind man whose white stick is mista...,#police in chorley #taser blind man with white cane after thinking he was reported man with #samarai sword. Were the police #blind?,,LANCASHIRE,SAMARAI,,182,20
